"","StartDate","EndDate","condition","LibCon","WhtDis_comp","LibID","LibDis_comp"
"140","4/17/2019 12:26:26","4/17/2019 12:32:03","Actual threat",7,4.51388888888889,1.75,4.73611111111111
"141","4/17/2019 12:27:02","4/17/2019 12:33:06","Actual threat",6,4.30555555555556,3.5,4.22222222222222
"142","4/17/2019 14:19:13","4/17/2019 14:25:01","Actual threat",8,6.02777777777778,2.75,4.20833333333333
"143","4/17/2019 13:30:12","4/17/2019 13:54:22","Actual threat",4,3.16666666666667,2.25,4.65277777777778
"144","4/17/2019 13:06:44","4/17/2019 13:13:29","Actual threat",2,1.5,2,5.19444444444444
"145","4/17/2019 12:22:08","4/17/2019 12:28:18","Actual threat",2,2.23611111111111,1.25,6.54166666666667
"146","4/17/2019 12:29:29","4/17/2019 12:40:59","Actual threat",1,1.18055555555556,1,6.16666666666667
"147","4/17/2019 12:28:57","4/17/2019 12:39:22","Actual threat",4,3.63888888888889,2.25,5.15277777777778
"148","4/17/2019 14:06:04","4/17/2019 14:29:28","Actual threat",4,1,3.75,4.47222222222222
"149","4/17/2019 14:27:01","4/17/2019 14:36:57","Actual threat",1,3.16666666666667,1,6.83333333333333
"150","4/17/2019 15:10:50","4/17/2019 15:15:48","Actual threat",1,3.94444444444444,3.25,4.38888888888889
"151","4/17/2019 15:27:02","4/17/2019 15:34:13","Actual threat",4,3.33333333333333,3.25,4.66666666666667
"152","4/17/2019 12:55:22","4/17/2019 13:00:42","Actual threat",7,4,4,4
"153","4/17/2019 16:29:24","4/17/2019 16:34:43","Actual threat",2,2.05555555555556,1,6.33333333333333
"154","4/17/2019 12:34:19","4/17/2019 12:44:32","Actual threat",3,2.61111111111111,2.5,5.25
"155","4/17/2019 12:24:54","4/17/2019 12:33:08","Actual threat",3,1,6.25,1.54166666666667
"156","4/17/2019 14:22:04","4/17/2019 14:27:54","Actual threat",7,4.75,6,2
"157","4/17/2019 14:19:35","4/17/2019 14:25:08","Actual threat",8,4.86111111111111,6.25,1.93055555555556
"158","4/17/2019 13:46:45","4/17/2019 13:52:10","Actual threat",7,3,6,1.72222222222222
"159","4/17/2019 12:40:40","4/17/2019 12:48:30","Actual threat",8,3.63888888888889,7,1
"160","4/17/2019 13:52:18","4/17/2019 13:59:10","Actual threat",7,2.16666666666667,3.5,3.69444444444444
"161","4/17/2019 12:46:53","4/17/2019 12:54:09","Actual threat",2,2.43055555555556,2,5.83333333333333
"162","4/17/2019 12:30:47","4/17/2019 12:37:28","Actual threat",7,3.97222222222222,5.25,2.54166666666667
"163","4/17/2019 12:31:55","4/17/2019 12:51:24","Actual threat",5,1.83333333333333,2.5,5.55555555555556
"164","4/17/2019 13:58:01","4/17/2019 14:04:47","Actual threat",4,2.18055555555556,2,5.94444444444444
"165","4/17/2019 12:22:20","4/17/2019 12:30:41","Actual threat",2,2,1.25,5.375
"166","4/17/2019 12:30:51","4/17/2019 12:39:17","Actual threat",8,4.83333333333333,1,6
"167","4/17/2019 12:42:44","4/17/2019 12:50:32","Actual threat",2,1.88888888888889,1,6.83333333333333
"168","4/17/2019 12:25:39","4/17/2019 12:31:34","Actual threat",7,4.05555555555556,6.5,1.47222222222222
"169","4/17/2019 12:30:06","4/17/2019 12:57:41","Actual threat",3,1.66666666666667,1,6.77777777777778
"170","4/17/2019 14:41:31","4/17/2019 14:51:19","Actual threat",2,4.47222222222222,1,5.77777777777778
"171","4/17/2019 13:18:28","4/17/2019 13:25:03","Actual threat",2,2.22222222222222,1,6.77777777777778
"172","4/17/2019 12:22:47","4/17/2019 12:29:14","Actual threat",4,2.61111111111111,4.25,2.88888888888889
