"","LibCon","condition","PolicySupport","IndivAction","TrumpProto","WhtDis_comp"
"160",5,"Control",3,3.2,3,2.5
"161",6,"Control",4.875,3,5.66666666666667,4.33333333333333
"162",5,"Control",4.54166666666667,4.5,2.33333333333333,3.79166666666667
"163",7,"Control",5.25,4.25,2,3.39583333333333
"164",5,"Control",5.125,4.75,2,3
"165",8,"Control",6,7,6.33333333333333,6.0625
"166",5,"Control",5.25,4.4,4.66666666666667,3.89583333333333
"167",8,"Control",5.875,7,4,6.35416666666667
"168",5,"Control",4.25,6.8,1.66666666666667,3.83333333333333
"169",5,"Control",3.83333333333333,3,2,2.41666666666667
"170",5,"Control",5.75,6.2,2,3.1875
"171",5,"Control",5.75,5.25,3,3.38888888888889
"172",4,"Control",2.25,4.6,5,2.29166666666667
"173",2,"Control",2.375,5,6,2.125
"174",4,"Control",3.125,5.4,2,4.125
"175",6,"Control",3,3.8,5,3.83333333333333
"176",7,"Control",4.29166666666667,5.4,2,2.29166666666667
"177",5,"Control",2.625,3.5,2,2
"178",7,"Control",5.66666666666667,5.2,1,4.16666666666667
"179",8,"Control",5.5,5.2,5,3.77083333333333
"180",8,"Control",6.625,6.6,3.66666666666667,5.04166666666667
"181",8,"Control",5.875,6,1.66666666666667,5
"182",8,"Control",3.25,3,1,4.375
"183",7,"Control",6.375,6.6,1,5.4375
"184",8,"Control",6.25,5.8,1.66666666666667,6.5
"185",8,"Control",2.875,5,2,1
"186",5,"Control",4.83333333333333,5.2,2.33333333333333,5.6875
"187",3,"Control",5.375,5,1.33333333333333,2.54166666666667
"188",2,"Control",1.125,5.4,5.33333333333333,2.33333333333333
"189",1,"Control",2.375,2.8,5.66666666666667,1.79166666666667
"190",6,"Control",5.66666666666667,4.8,4.66666666666667,4.04166666666667
"191",7,"Control",5,5,1,4
"192",7,"Control",6.5,6.4,3,5.04166666666667
"193",5,"Control",3.875,4.2,4.33333333333333,4.11111111111111
"194",7,"Control",4.75,5,2.33333333333333,2.79166666666667
"195",8,"Control",5.75,6.4,2,4.79166666666667
"196",8,"Control",7,6.8,2,4.52083333333333
"197",7,"Control",6,4.8,4,5.22916666666667
"198",7,"Control",4.125,5.2,1.66666666666667,2.3125
"199",4,"Control",3.375,5.8,1.33333333333333,3.66666666666667
"200",4,"Control",4.75,4.4,6,2.83333333333333
"201",2,"Control",3.5,4,6,2.375
"202",7,"Control",4,4.5,1,4.625
"203",7,"Control",5.5,4.2,1.66666666666667,2.625
"204",7,"Control",4.875,7,1,4.66666666666667
"205",5,"Control",4.75,2.8,2,3.20833333333333
"206",6,"Control",4.25,5.2,1.33333333333333,3.9375
"207",7,"Control",4.125,4.8,2.66666666666667,4.25
"208",8,"Control",6,6.8,1.33333333333333,4.375
"209",7,"Control",6.625,6.4,1,6.58333333333333
"210",1,"Control",1.875,1.2,3,2
"211",4,"Control",1,1.4,3.33333333333333,3.04166666666667
"212",4,"Control",4.41666666666667,5,2.33333333333333,4.25
"213",8,"Control",6.625,5.6,2.66666666666667,5
"214",5,"Control",4.375,4,4,3.625
"215",8,"Control",6.875,6,2.33333333333333,5.66666666666667
"216",7,"Control",4.875,5,2,4.625
"217",5,"Control",6.25,6,2.66666666666667,4.91666666666667
"218",5,"Control",2.75,3.2,2.33333333333333,2.875
"219",5,"Control",5.625,7,4,2.375
"220",6,"Control",3.75,4.4,2,3.25
"221",7,"Control",3.5,4,1.33333333333333,2.625
"222",2,"Control",2.5,2.6,4,2.66666666666667
"223",3,"Control",2.625,6.2,1,4.16666666666667
"224",4,"Control",6.375,6.2,1,3.85416666666667
"225",4,"Control",2.25,1.8,4.33333333333333,1
"226",5,"Control",3.83333333333333,3,5,2.875
"227",7,"Control",5.5,5.2,1.33333333333333,4.45833333333333
"228",7,"Control",3.25,5.4,1.33333333333333,3.08333333333333
"229",8,"Control",7,7,3,5.5625
"230",4,"Control",5.25,5.2,3,3.83333333333333
"231",4,"Control",4.54166666666667,5,6,3.5
"232",4,"Control",1.875,5.2,4.33333333333333,1.625
"233",2,"Control",1.375,3,5.66666666666667,1.8125
"234",8,"Control",5.875,7,1,2.83333333333333
"235",7,"Control",5,5.4,1,3.04166666666667
"236",7,"Control",6,5.6,1.66666666666667,4.875
"237",6,"Control",4,4,1,3.75
"238",7,"Control",6.25,6,1,4.66666666666667
"239",7,"Control",1.875,6,1,2
"240",6,"Control",7,7,1,5.77083333333333
"241",5,"Control",4.625,7,5,4.70833333333333
"242",1,"Control",3,5,7,1.27083333333333
"243",4,"Control",2.875,4.2,1.66666666666667,4
"244",4,"Control",1.875,3.25,3,4
"245",4,"Control",4.375,5,2.33333333333333,3.22222222222222
